# RA                 DEC                 R_PETRO   Z                    
  211.540118718185   0.631343322220008   18.1666   0.266680002212524    
  211.523643686428   0.635046765599192   18.3203   0.0309500005096197   
  211.715818971918   0.639359834441741   17.8061   0.114359997212887    
  211.699323719304   0.650929734925511   18.3375   0.119869999587536    
  211.77510382971    0.820445846706556   17.091    0.129779994487762    
  211.78925713273    0.727566457526187   17.7544   0.183489993214607    
  211.824234445472   0.771100723939861   17.9044   0.199100002646446    
  211.83096640054    0.77552067930682    18.5636   0.200780004262924    
  211.834988752832   0.824389267166153   17.2885   0.239460006356239    
  211.851005144085   0.827907560319006   17.9262   0.239739999175072    
  211.888969885365   0.834375105800965   18.0083   0.105719998478889    
  211.901170770309   0.728910608607471   18.4608   0.165260002017021    
  211.912797275144   0.729035317326912   18.2507   0.256269991397858    
  211.957743395103   0.650755646212256   16.5667   0.369040012359619    
  212.002395152372   0.771950611976601   18.1761   0.271180003881454    
  211.882457227562   0.745359397503187   18.1109   0.045279998332262    
  211.887459307429   0.630945546406658   17.0302   0.113650001585484    
  211.89901655678    0.724309998975597   18.2812   0.166030004620552    
  211.964122006818   0.749400833247611   16.354    0.0829600021243095   
  211.965821018352   0.71116456904891    18.2627   0.11344999819994     
  212.02462200459    0.749269769105911   15.8768   0.0767299979925156   
  212.114976698797   0.700285741572436   16.681    0.0255900006741285   
  212.024020621417   0.650610454963357   18.5302   0.247009992599487    
  212.099617277259   0.778723935354046   17.9602   0.257679998874664    
  212.136354843012   0.683847483124122   18.6391   0.174569994211197    
  212.162085479081   0.659514162722444   16.6612   0.113920003175735    
  212.092578961809   0.83605512563829    18.5527   0.269959986209869    
  212.150887002485   0.780947831092464   18.579    0.257090002298355    
  212.163017383254   0.685934533926552   18.63     0.160620003938675    
  212.17281343527    0.831965305779207   17.8125   0.0578799992799759   
  212.212208976775   0.693887909097647   18.4427   0.268700003623962    
  212.171260909093   0.796657501165071   18.3485   0.113590002059937    
  212.175998388812   0.793103831175616   17.3733   0.114589996635914    
  212.174885444858   0.794007593761671   18.264    0.177630007266998    
  212.200460133384   0.812083016857948   16.769    0.113389998674393    
  212.193750835596   0.809181883713076   18.3732   0.258109986782074    
  212.290352072167   0.762808673998962   17.2799   0.11438000202179     
  212.250268615015   0.717984040217647   18.6689   0.269329994916916    
  212.431556680312   0.763505300487366   18.2831   0.258379995822906    
  212.358385265563   0.728620668220831   17.239    0.164749994874001    
  212.364930297274   0.826950094199067   18.6838   0.184900000691414    
  212.36520314388    0.731599859023132   18.671    0.164250001311302    
  212.378087169758   0.835820149310844   18.4253   0.145919993519783    
  212.384601263908   0.738138902349807   18.4635   0.164059996604919    
  212.401818397394   0.737781770385266   17.908    0.0536300018429756   
  212.424956223816   0.727275809879654   18.6309   0.135419994592667    
  212.451892299573   0.816433371509593   18.1377   0.164770007133484    
  212.453168061328   0.81825897451263    18.0211   0.164130002260208    
  212.441271403273   0.7696219651798     18.5496   0.307819992303848    
  212.448186848023   0.759022441667026   18.1755   0.256940007209778    
  212.589731957063   0.640687444325474   18.4947   0.140530005097389    
  212.493256049794   0.779316686244568   18.6629   0.134810000658035    
