ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      176.488     -8.28073      8.06198      69.7278     -1.14649     -2.30674
      143.232     -46.4190      9.94859      391.494      2.54010     0.677911
      336.276     -35.7185      23.2803    -0.250450      1.75566     -1.95150
      230.968      58.4068      47.7604     -140.928    -0.951962    -0.681393
      322.714      26.4476      15.4324     -226.893      4.06203     -2.05507
      302.468      15.3946      60.6634     -259.563     0.336360    -0.304068
      230.244     -48.1263      15.5391      33.5553     -1.71232     -2.56068
      33.5102      69.1471      29.8022     -284.498      2.42918    -0.703010
      16.6476      15.7043      69.0573     -128.058     0.755897    -0.441525
      323.631      37.2148      7.79978     -197.500      1.73877     0.942110
      120.722      70.8963      26.1384     -5.23170     0.819193     -3.24081
      198.236      41.2552      21.0705     -97.1769     -1.36794     -2.59074
      314.825      1.13222      34.8335     -111.046     -1.03859    -0.285478
    0.0275281      27.7850      26.2080     -155.948      1.73045     -1.77587
      212.154      9.01912      20.6365      109.199    -0.955134     -2.21004
      243.466     -18.6799      17.7966      132.983     0.408360     -2.33900
      269.608     0.509098      24.4747     -39.4362    -0.647416     -2.30902
      52.4573     -10.4442      11.3882     -102.916      4.14466     -2.93417
      70.5187      10.7765      76.1041      80.1140   -0.0737904    -0.517920
      311.334     -53.1429      39.0468      30.3626     0.167000     -1.11420
      238.528     -11.6277      25.8349      74.6350     -1.58349     -1.43082
      187.259     -17.5434      28.6910      114.503    -0.422328     -2.34181
      114.765      35.9553      25.4631      87.6977   -0.0442241    -0.745648
      9.67389     -26.1275      22.0209      79.3573      1.66072     -1.73688
      59.2924     -48.9468      9.27875      297.482      3.95924     -2.18780
      271.454     -1.06946      28.5200     -312.751     -1.47743    -0.724225
      127.074     -23.2591      17.6176      358.258      1.26493    -0.268102
      40.6600     -59.8549      31.8733      198.757      1.15405     -1.02693
      90.9169      29.5442      19.3727     -70.2089      1.11979     -1.19189
      165.037      5.25218      19.7963      234.355     -2.62307     -2.09285
      193.601     -19.4726      22.9416      288.941     -1.03004     0.940872
      207.267     -78.6022      66.2764      196.563     -1.02647    -0.550422
      45.5238      48.0522      39.6244     -44.0148     0.996913     -1.52337
      245.114     -9.69803      9.85720      19.5147     -5.48221     -2.89800
      185.669     -47.2578      51.2679      262.861     -1.18946     0.587075
      20.7978      15.1516      27.4658     -182.276      2.63886     -2.18488
      241.008     -33.2934      19.9219      96.4755    -0.379090     -3.39004
      196.371     -44.3818      35.8983      362.472   -0.0904742     -1.49180
      6.74367      55.5791      28.7001     -240.965      1.69319     0.126231
      296.998      2.50021      25.0085     -368.921    -0.599539     -1.03551
      174.388     -66.3688      48.8454      256.563    0.0665131     0.342732
      297.499      19.8783      25.4586     -328.958     -1.13673    -0.507627
      42.4156     -22.5049      28.7182      24.2685      1.73151     -1.10416
      341.165      43.6993      17.5219     -252.144      5.70064     -1.87367
      178.254     -12.3164      15.1173     -60.0311     -1.12951     -2.89737
      48.3687      37.1458      28.0399     -225.936      3.05677     -2.21876
      172.132     -36.9987      55.9937      138.327    -0.401991    -0.853206
      110.590     -7.09432      9.99716      261.281      1.37343     -4.86321
      109.884     -18.5232      15.2715      179.817      3.00219     -4.00865
      259.929     -45.1170      26.2964      129.152     -2.65609     -1.30603
      233.587      49.6477      30.8989     -264.207     -1.32427     -1.54113
      117.806     -32.1793      11.6374      147.586     -3.30538     -1.64060
      269.776      22.5589      20.3497     -147.906    0.0711224     -1.62330
      351.645      13.4890      86.3779     -118.695     0.324414    -0.412797
      318.596      64.3112      28.6734     -227.534     0.195751    -0.364680
      305.942      35.5428      15.7668     -344.359     0.529244    -0.884733
      144.158      66.6823      26.9378     -3.34454     -1.11275     -1.54771
      62.4332     -63.9638      81.4111      243.793    -0.382058   -0.0882837
      155.807      17.4922      25.1410      31.1704    -0.591638     -2.43693
      238.093      78.4519      97.6086     -215.798   -0.0139389   0.00639838
      157.264     -59.4823      37.7068      328.689    -0.926956     0.941023
      255.215      2.38734      65.3264     -55.8690    -0.678211    -0.393679
      4.83473     0.506849      20.8568     -228.854     0.835814     -2.25193
      267.001      20.6253      78.8549     -123.136    -0.275361    -0.100766
     0.656373     -71.6678      13.2829      140.673      2.29500     -2.07712
      224.826      8.14902      26.3709     -77.1177     -2.47963     -1.69389
      228.256      14.9648      48.4831     -39.2010    -0.456863     -1.08309
      278.661      14.6403      12.7829     -170.684     -2.08159     -1.89764
      175.177     -61.1838      22.5718      200.314    -0.963941      1.76228
      161.797      7.33205      36.7979      71.4081     0.349632    -0.253385
      303.188     -59.9824      25.5384      73.1886    -0.132986     -1.39548
      243.534      68.4759      27.2330     -195.143     -1.04467    0.0441133
      65.8947     -10.5947      19.0855      31.0016      1.58819     -2.63985
      316.802     -6.04344      15.9842     -340.182    -0.707185     -1.58659
      309.229      39.1784      19.1934     -199.030    -0.891005     -2.28847
      139.144     -60.2879      37.6626      236.980     0.260273      1.00161
      25.5853     -36.0894      79.4931      57.8972     0.641481   -0.0403599
      101.825      25.1156      10.5662      110.371      2.51265     -2.69465
      242.877     -3.47434      26.9320     -89.3203    -0.864408    -0.867143
      63.9664      15.2552      11.9940      83.4156     0.570331     -7.09671
      265.126     -19.1137      19.7318     -86.4895     -1.60498     -2.25856
      37.2916     -25.0968      18.6606      4.55901      3.05418     -3.19339
      217.873      3.62122      49.0958      39.9545    -0.770087    -0.719934
      281.670      32.8859      28.1879     -292.448    -0.169160     -1.11586
      263.323      34.2881      44.3971     -169.299    -0.126616    -0.406751
      54.2506     -15.2115      70.9245      141.371     0.150863    -0.281304
      68.5971     -38.9603      25.8477      224.928     0.756550     0.963224
      98.1619     -40.1498      78.9189      380.586     0.365505    -0.310448
      304.381      74.0469      19.5153     -259.289    -0.217561     0.821657
      39.1823      23.8509      11.7274      65.6652      5.38248     -1.65229
      294.752     -54.9405      86.2544      57.7844    -0.360370    -0.652567
      40.7207     -18.9737      16.8146     -44.8264      1.82502     -2.60082
      253.430      51.5612      27.8101     -130.667    -0.838743    -0.411724
      339.669     0.489056      74.4835     -234.618     0.323940    -0.693033
      29.0223      26.8220      45.0004     -23.3896      1.24124    -0.148939
      181.620     -58.9310      8.76684      170.867     0.169877     -3.17450
      335.272     -20.5260      15.0562      69.9499     0.978800     -1.47372
      215.182      62.1646      19.4481     -214.295     -2.56663    -0.565373
      206.573      6.70886      93.2615      101.824    -0.699072    -0.257379
      333.878     -28.4822      32.2856     -185.240     0.416728     -1.34587
      254.017      21.3101      15.5239     -77.8316     -1.83669   -0.0910663
      238.622     -8.93726      47.3329     -110.891     -1.39205    -0.795952
      205.486     -11.4376      42.7665     -1.55074    -0.705195    -0.949454
      298.836     -43.1460      17.4766      78.9665     0.656493     -2.40540
      13.2718     -34.1034      60.9918     -145.840     0.665479    -0.541612
      118.222     -19.5801      31.9483      133.445    -0.732998     -2.46340
      273.132     -40.1011      13.4219     -104.630     -1.61496     -1.63458
      66.4626     -22.5164      17.8382      156.217      1.31411     -2.62505
