# x[kpc] y[kpc] z[kpc] v_x[km/s] v_y[km/s] v_z[km/s]
  71.8836  -48.5590   -8.3523 -164.5815 -146.6759 -143.5572
 -16.0308    3.2265    9.6250   86.4892    7.6496 -102.4604
  22.6051  -10.3528   11.4242   90.2177   87.5156   81.7879
 -16.5195   28.8081   46.3364   75.3920   33.6301  -11.1136
 -16.7511    0.6978   -6.0968  119.7154  314.5162 -129.1975
  -7.7076   -5.0193    6.3080   74.1379  137.7735   15.3139
  -8.0951   -9.9241    0.6940  -69.5565 -162.6871   -4.6818
   3.9043    1.7804  -19.7178  121.3034   38.3213   58.1756
 -10.0250   31.2486   36.1048  180.0558  124.7340  -78.1187
  -4.9331   14.2895   -4.7304    3.9641  -38.1389  -73.9097
  25.2520   49.4932  -10.2073  -27.7399  -44.0200   82.4704
   4.6337   -8.3736    2.0438   35.1370  161.5638 -181.8073
 -27.3631   22.5688    3.9533  -78.1764 -214.9612  -15.1043
 -37.6379   36.9620  -50.3913  323.7961  213.7837  -12.8362
  -7.6444    7.6336   -1.4343  -70.8126   42.0223   31.0084
 -26.3892   13.0190   13.6835 -206.3438 -105.2323   30.9303
  -9.8010    5.1499   20.4032  269.4526   79.0198  -35.4809
  11.5424   23.6328  -16.1329   18.9723  119.6275   91.5927
 -15.5403   20.5775  -14.4989  308.2151   99.2415  -47.8867
   0.6162   -1.2845   18.5936  239.5940  114.6968   10.7626
   8.0679   -1.2696    6.8972  184.0283   93.6743  -85.8693
  12.9962   10.9661    5.0498  111.4731  -17.0915  -66.1290
 -15.4598   -2.1202   -8.5714  228.9224  214.2128  -33.3771
 -78.2088   -8.4032  -28.8516   -4.7883   73.8348 -119.3196
  21.2492   -7.8717  -24.2534   10.2484   22.4392   25.4034
  13.8385   -0.8169   13.3185   83.7999   22.4825   18.3375
   0.4586  -18.3313   20.2859  163.5248  -33.6775 -137.1031
 -31.3726   -1.4238   10.7038  -73.5046  140.3883   21.3200
  -7.6508    0.9084  -21.9656   27.7764   31.7449  -79.9990
  -9.6841   -6.0197   -6.8970   36.6466  -26.8463 -171.2575
  16.8314   12.6401    4.7211 -211.1983  -26.6690   -5.6108
 -15.6691  -15.7626    2.7870 -141.0235  -93.9179   25.2019
  -4.8218  -19.2284  -25.1539  260.2544  156.1479 -151.8111
 -27.6217   -0.4937    1.3418   77.7506  153.3073  -77.4070
 -12.5242  -10.3207   16.3834  -56.3455  -84.9076   73.3570
   1.0477  -13.8378   15.7577   15.1688   67.3040  281.1343
  28.9545  -51.6143  -18.4292  303.0647  293.6712 -281.0657
 -40.1056   22.7764   -6.2764   61.4456  144.7121 -286.3675
   0.4411    0.6601    4.5350  151.9681  286.1139 -231.1132
  14.8635  -43.7051   13.5071  345.7762  174.3713  244.2594
 -21.4205   13.4210  -20.0254  435.9617  133.1798  -87.3800
  10.1718   -5.6776    4.8685   94.3903  -14.4407 -202.8294
  11.5522  -27.7020   11.3043  233.8278 -129.1155 -118.6467
 -22.3142   24.7979   -3.4884   14.1202  -40.0459   41.7454
   9.9781   16.3219   -4.9665 -220.8718  -83.2540  -25.4487
  12.7355  -43.9069   -3.9187   91.7621  -19.1408   58.4931
   5.4493   21.3752   -1.4557  -90.9871  -90.5023   56.1501
 -19.7699   -6.4931  -25.4880  229.2516  255.1331 -123.9586
 -11.2560   16.7859   -4.0364 -252.2259 -146.5296 -278.6123
  -6.2861   -9.9033   11.2699   30.9172  108.8208 -185.7314
 -31.9257   12.5533   -8.3680    5.8611 -275.0889   18.0132
   5.1587  -49.7823   21.8417   68.8273   18.7269 -160.5575
 -15.6206   -6.7773    0.6755  -30.9978 -112.6510  -44.4522
 -17.5780  -12.1148   -0.5790  180.9245 -126.4057   45.5452
  16.8443   -7.3941   -2.1164   76.1360   -9.3684   19.1624
  -4.8997   18.8834   24.2468  104.7285 -131.9068  -59.0486
 -12.6607  -10.7754   -0.5240  -31.7262   98.6829 -159.0596
   4.3648   14.1547    7.3318   41.6415   45.0757  -95.0652
 -12.1452   61.5420  -60.4621   28.3951   17.1798  -43.1578
 -14.1162   27.5647    5.3674   89.8226   27.1332  -70.0073
  -4.0766   15.1875   -0.2838  -17.0497 -117.7027   -6.2191
 -25.1908   11.4303   17.6250   46.6011   60.0987  148.0145
  -1.6593  -60.5610  -53.9733   84.8757   85.1234 -186.2306
 -19.2722   -9.5338   20.5401   92.1707  -44.7928  -39.9386
 -39.3333   73.7116   55.9821   79.8369   73.5851 -122.0662
   1.9188  -36.2823   -0.9612  152.0466  -75.6220  226.2662
  46.5103   21.8751   28.0423   52.9486  214.5893 -191.1185
 -11.1244    9.6244  -18.2596   86.6499  -73.8113   95.5230
  42.9437   51.6248   30.4748  -40.5425  141.6672  -71.1703
  -2.5010   -7.3756   -9.3755  205.7165  116.8240   19.0871
   7.0505    1.8299   21.3914  139.2535  129.0364 -171.1789
  18.0075    9.4886   39.6313  191.8856   96.5190 -128.3110
   0.7214    8.7725    2.2768  -42.3050   72.5763 -125.8309
   1.0653  -20.5365    0.2039   54.7007   33.5538  192.6383
 -18.5302  -18.6947   30.0259   36.9580  167.9391   63.5893
  11.3083   -8.3064  -14.0701   -2.4462   53.9033  -39.1001
 -12.4447   20.7025   17.2278   -1.0648   15.1730  -43.3832
 -22.0173   -6.4527  -11.5684  155.1924   90.8367 -135.5485
   1.3538    9.3086   -8.6707 -108.5064  -64.3108  182.2873
  -4.6175   18.8333   -0.3374  139.4582    2.0537 -109.2019
  -2.3809  -36.8428   -5.0762 -103.2836  -37.1219   70.2932
 -13.3050  -18.6894  -77.0756   24.4107  212.9556  -48.6319
 -18.5351   -1.7841    1.9515  -55.5527   42.1841   82.5510
  14.1078    3.3682   14.5832   20.8996  204.4033 -166.6560
 -19.2032    0.2418   -4.9646   46.6426  -57.6360 -284.8607
  11.1453    2.6544    2.0717  -40.8668  -33.0841   11.2541
 -14.2072   -3.8238  -17.2560   23.6887 -150.9719   82.8089
  18.7284   -3.4141   40.8707  223.9927  207.3781  -87.6834
   4.3039   24.1103    7.4023    9.6199  -68.9701 -123.2635
  11.7270   32.7819   22.2839   12.1775   86.8706 -117.3170
 -50.1806  -18.8514  -54.0185   10.7700  157.7612 -152.0383
 -17.2400  -16.8402  -17.4254 -180.4111  119.3166 -118.8128
 -35.4535  -68.8039  -27.4849  -31.9422  -82.7642 -254.2070
 -13.6561   17.4819    6.8492   24.2169  -32.3358  -46.1874
 -16.9902    4.6359   -6.3386  -73.8710  143.2118  -62.5622
  63.8880  -22.4747  -41.4895  -37.0055  -29.2778  -54.8763
 -15.4254   -2.7434  -14.9541   75.8468   -7.7669   70.7186
  -4.0381   21.2064   17.5063   37.8439  101.4959  -48.5432
   9.9831   46.4951  -55.2154  -12.7243 -120.4889   18.8246
 -37.1499   23.8522  -24.9488   56.0115  221.4371  -12.8025
  -4.3052   -7.7870    0.5393  108.0240   81.6573 -113.4048
  -1.3369    5.0085  -12.3471   85.4387  159.9654  -65.2840
 -11.5937   11.5066   15.3560  -42.0918  -40.0261  -71.6843
  27.4405  -14.3621   84.9626 -102.2662  -45.2871  119.8312
   8.5775    6.6465  -26.6813   19.4427    7.3925  180.4894
   1.3612    8.4311    8.7774  -12.7920  248.7584 -120.3669
  31.5446    0.2350   25.5761   93.3141  276.8312 -326.8148
  13.7391  -17.0080   32.4921   38.2226   64.0877 -101.2977
   6.8735   -0.9201   -8.5957   32.0264   41.8489  -95.6609
  -4.7749   -6.4146  -60.5240  232.5732  211.9356  169.1959
 -25.4971  -26.8290    2.2980  163.3209  -45.5681 -244.7135
   4.7982   -1.6209   -2.4140 -118.8897  189.4938  -86.5651
 -18.5897   -8.5714  -11.7567  118.4501   82.5288 -214.0735
  69.8510  -37.6674  -44.8862   -5.4587    2.8249  -22.8848
  -1.7609  -19.1161   -8.6592   27.8338   63.5285  -29.1503
 -12.8322  -10.5244    9.2191   28.9240 -100.8653 -191.3451
 -17.5635   -6.1616  -15.8760  215.0181  219.1970 -243.7625
  33.2077  -40.0418   -0.8315  275.2292   58.8967 -129.1299
 -30.5034   20.3692    4.1882  152.2899  177.8539  -59.5370
  -5.2283  -50.1166  -38.5491  -84.2513   43.1395   -8.6392
 -31.4057  -25.2680    8.3712  113.8667  -57.7865 -136.5552
  -9.5636    9.6484  -14.1239  114.8208   27.8243   -6.9906
 -26.0617   24.3790   26.3990   53.3031  108.2982  -16.2275
 -14.5273   11.0508  -11.9798  -87.0304  118.9943   -1.1036
 -24.1742   -6.6046   23.1154  -66.9321 -188.8773  162.5133
  -3.6869   -6.3753   -2.1584  141.2709  135.9508 -154.4777
  -6.4266   -3.4330    1.5379   94.2071  -52.2335  -56.2109
 -14.4649   62.8349  -12.8739   65.5525  175.7922  -33.8722
  -4.3845    9.1978   55.5017  238.1185 -139.7982  -19.4514
  -8.3335  -15.0718    2.6628   24.5077 -251.8353  115.0022
 -14.4557   -1.4446  -12.5918  190.1519  184.0419 -154.4335
  -4.5779   10.8668   -3.4892  -25.8712 -143.4130  -69.1393
 -25.7907   -8.5398    3.5894   71.9387  -12.2449 -174.7627
  14.4714   -6.5045    7.7538  220.3492   -8.6366 -153.0540
 -52.2037   -6.1834  -20.7345  125.0294  -63.5910 -330.2172
  16.5799   18.1759  -24.6728    9.0512   22.5613   30.2966
  -5.2494    4.1629    0.4846  -52.3623  -32.7494 -148.7307
 -21.2010    0.7054   12.3371  -27.3251   71.5490  -60.4719
   8.3071  -14.1788   -0.8093  313.3066  129.8619 -167.3341
  24.5217   -4.9562    8.5475  121.6148  133.5643  -84.8841
 -44.5088    8.5433    3.3287  -27.4719  135.0152  -11.3569
  -0.7581   -1.4039   79.7205   78.6232  200.3425  -70.5826
  -5.9964   23.4348  -36.6823   71.3438  -25.8562   34.7364
 -10.8178  -10.9923  -14.3167  140.9259  289.6597 -327.3357
  13.1140  -27.6760   34.6664   94.2792  -35.5788  -75.9368
 -25.8801   -5.7994    6.2555   26.7225 -115.9416  -92.5312
 -20.6962    0.0876    8.9297    0.7920  -66.5539   31.3935
  -8.3832   12.4990    2.7337    6.1116   86.6146 -111.4022
 -11.2146   35.6306   35.0663  -24.9855  -10.6975 -200.2699
   5.0265   26.4407  -12.7953   68.9990   20.2432   62.9360
   6.0839    9.5990  -14.8817  148.9334  -88.6757 -102.1675
  22.7289  -52.7683   18.8691  134.0603   27.4492   24.0541
  20.0051  -13.7506   25.3839   69.5177   87.5489  124.5448
 -14.8457   24.8634   27.8890  269.6297  138.2962  -33.9945
   1.2406  -16.5997   -4.8679   89.7129   57.0967  -44.6076
  18.7425   18.2093  -13.2054  136.2480 -164.9209  -54.7768
   1.2188    5.5519   17.5904  200.7559  235.4456 -283.8632
   3.4922   -8.7680   -0.8802  281.6303  268.8335    6.5072
 -42.6975   10.0521    3.7762 -172.3838   97.9482 -127.8294
  -4.6901    8.0607   -3.4156   33.1294 -117.6640    8.1891
  -7.4892  -20.5737   -7.7644  -82.5465   13.1361  -35.4047
  -1.6587  -15.3504  -22.1187   22.2372  -47.1699  246.5585
 -69.9599  -27.9916  -72.4710   90.5200   60.9389 -132.2723
 -24.3935   -5.9293    5.6965 -231.5705   19.9187 -105.3957
 -10.2813   -0.2665  -19.0542  105.8679   16.8080  -13.9574
 -37.5078   -5.3488   -1.6890    3.1502   73.8084   78.7733
 -28.5945    5.6031  -12.1568  184.7375   48.2896  -63.9327
  41.5764   -2.6048  -13.7500  125.1427  -84.5463    8.5470
 -56.0914   35.7252   -4.6803  254.0856  213.4592 -118.5595
  -8.3029   -1.0047  -23.1741  109.6931  126.4220  -56.8215
 -12.8334    1.4492  -21.6092  103.3534   30.9993 -164.3365
 -12.7292    8.7241   -1.0585  119.7824  -21.6118 -104.2723
 -20.0671   -2.6882    0.4806 -178.9476 -126.7837  -14.4100
   6.6799    4.0788  -11.2202  -14.5479  -28.1882 -159.8579
 -14.7246    9.1953    0.2275   86.3455   -6.2577  -27.1329
  79.1229    0.3450  -49.3845  -75.6508   91.7145  -55.9097
  -7.2075  -16.8759   20.9744   69.9128  116.1948   -5.2908
   6.9940   34.0541   13.2808   96.8843    7.9204   80.9425
 -26.9168   -6.1049   -9.6194   92.2018  -32.3002  -96.4550
 -27.7401    1.4557    6.3285 -193.2347  -37.6064  -43.8694
 -14.0505   -8.2867   18.9052  127.5856 -105.9682   15.9388
  25.9982    7.0723  -35.1078  -67.8937 -142.8274  131.4159
  -3.1719  -37.5772  -71.7169  154.1655  -42.3702    8.4932
 -12.2207    0.8717  -12.9766  241.9588  102.2074   41.8146
 -29.3837    4.5919    2.1917  -84.9835  154.2465  -55.2279
 -19.2588    5.7543    3.1504   31.7620   95.9930  -63.1185
 -11.8620  -12.0032   -5.1783   85.9453   26.9463  -50.4256
 -17.2006   11.2073  -10.4262  147.2440  -69.9179   85.3998
 -38.2739   49.8897   -4.0829  135.3707  101.0365  -17.3897
   6.2745    6.4701    8.6319   56.8283  112.0261   16.6903
  10.4959    1.9587  -49.5048   51.8331   49.4843   87.7021
 -34.6905   26.0310   -9.0878  175.5401  263.2785   42.2949
 -20.8853  -16.5287   55.3251  -31.2189   -6.4195   33.5738
 -31.9092   11.4309  -14.1552  188.6894   96.8801    6.3999
 -50.8140    0.7859   82.1875  112.5407  -53.8264  -23.2932
 -29.7573   14.9369    3.1553  156.6842   67.0841 -152.9460
  13.2541    2.2820   18.0141   54.2989  -14.5792 -119.2988
  -9.6206   19.6273   53.4962  118.1249  -35.0582    1.9830
 -28.5753  -17.9497  -88.0731  188.4493  194.1354 -168.4316
 -13.7551   -2.1736  -12.9815   79.7063   70.7721  -74.6471
 -21.6669    0.3703   -1.2664  -67.0462   76.0351 -317.6875
 -17.9189    7.1850  -13.8579  136.3378  139.0937    5.7844
 -31.8195   27.2866    9.2434   46.3109  -17.2712   -4.7206
  -7.0260   -3.0048   15.3670  201.4449   60.3064  -57.3935
 -16.0501    2.8672   -6.9832  131.1588  -33.2766 -266.7365
  35.5239   63.0078  -39.3284  229.2486    1.3882 -170.7932
 -45.1958   10.3248   10.2173   82.0692   -5.0929  -34.3637
  -0.5127   -0.5829   -8.8457  142.6027   41.6140  -70.5672
 -28.8637   -4.2508  -22.2636  -90.5557   62.0364  -80.2123
  35.4301   31.4186   -2.2139  -40.9513 -223.7407 -147.0059
 -16.7190   39.9101   15.1291  -33.5663  -90.6376   65.0470
  -7.3481   56.2802  -12.5825  -91.3003  115.1998   36.0378
  22.1287    3.3672  -14.4304   30.6472   34.0422 -169.6681
 -15.5837   12.5920  -10.6263  136.5270   25.7722   84.0703
  -3.8755    0.1023   -1.8020  100.7404  -51.2363   48.0856
