"Lara's NiFe 111 Ni diffraction Data"    "(20secs. Per point)"
    
angle CPS err.  
48.6909 1.65 0.2872281323  
48.7409 2.1 0.3240370349  
48.7909 1.05 0.2291287847  
48.8409 1.2 0.2449489743  
48.8909 1.3 0.2549509757  
48.9409 1.35 0.2598076211  
48.9909 1.55 0.2783882181  
49.0409 1.45 0.2692582404  
49.0909 1.45 0.2692582404  
49.1409 1.45 0.2692582404  
